SISTEMA,OWNER,TABLE_NAME,NUM_ROWS,NUM_ROWS_STR,text,bubble_size
SIMS,SIMS,SIMS_MOV_AMORTIZACIONES,13.0,13.00,Sistema: SIMS<br>Tabla:  SIMS_MOV_AMORTIZACIONES<br>Numero de registro: 13.00<br>,23.605551275463988
SIRAC,SIRAC,MG_ACCIONISTAS_SEGUNDO,0.0,0.00,Sistema: SIRAC<br>Tabla:  MG_ACCIONISTAS_SEGUNDO<br>Numero de registro: 0.00<br>,20.0
SISEC,SISEC,SISEC_SCALER_INFO_CUALI_CUANTI,0.0,0.00,Sistema: SISEC<br>Tabla:  SISEC_SCALER_INFO_CUALI_CUANTI<br>Numero de registro: 0.00<br>,20.0
SIAF,NSIAF,SIAF_SFD_OPE_SEG_AUD_ACTI_D,0.0,0.00,Sistema: SIAF<br>Tabla:  SIAF_SFD_OPE_SEG_AUD_ACTI_D<br>Numero de registro: 0.00<br>,20.0
SIAF,NSIAF,SIAF_SEG_FIN_CLAS_HQ,31249.0,"31,249.00","Sistema: SIAF<br>Tabla:  SIAF_SEG_FIN_CLAS_HQ<br>Numero de registro: 31,249.00<br>",196.77386684688435
SIAG,GIA,GIA_COMISIONES_ADELANTADAS,0.0,0.00,Sistema: SIAG<br>Tabla:  GIA_COMISIONES_ADELANTADAS<br>Numero de registro: 0.00<br>,20.0
SIAG,GIA,SIAG_HIS_IFIN,12646.0,"12,646.00","Sistema: SIAG<br>Tabla:  SIAG_HIS_IFIN<br>Numero de registro: 12,646.00<br>",132.4544352171136
IMRC,TROYA,TFIR,373374.0,"373,374.00","Sistema: IMRC<br>Tabla:  TFIR<br>Numero de registro: 373,374.00<br>",631.0433699828516
SIRYS,SIRYS,RCV_EPOS,1612.0,"1,612.00","Sistema: SIRYS<br>Tabla:  RCV_EPOS<br>Numero de registro: 1,612.00<br>",60.149719799769464
SIRAC,SIRAC,MG_GRUPOS_TASA,173.0,173.00,Sistema: SIRAC<br>Tabla:  MG_GRUPOS_TASA<br>Numero de registro: 173.00<br>,33.15294643796591
SISEC,SISEC,SISEC_GATO_ST_GAR_AUTOMATICA,10573.0,"10,573.00","Sistema: SISEC<br>Tabla:  SISEC_GATO_ST_GAR_AUTOMATICA<br>Numero de registro: 10,573.00<br>",122.82509421342633
SIAF,NSIAF,SIAF_EFA_EDO_MOD_B_DET_BIT,51.0,51.00,Sistema: SIAF<br>Tabla:  SIAF_EFA_EDO_MOD_B_DET_BIT<br>Numero de registro: 51.00<br>,27.141428428542852
SOI,SOI,SOI_MONEDA_LIN,1254.0,"1,254.00","Sistema: SOI<br>Tabla:  SOI_MONEDA_LIN<br>Numero de registro: 1,254.00<br>",55.41186241925155
SCC,TASU,TASU_TOTALES_MODULOS,33497.0,"33,497.00","Sistema: SCC<br>Tabla:  TASU_TOTALES_MODULOS<br>Numero de registro: 33,497.00<br>",203.0218566182739
SIRAC,SIRAC,DP_RANGOS_CONSULTA,0.0,0.00,Sistema: SIRAC<br>Tabla:  DP_RANGOS_CONSULTA<br>Numero de registro: 0.00<br>,20.0
SIAG,GIA,SIAG_DESTINO_CONT,296.0,296.00,Sistema: SIAG<br>Tabla:  SIAG_DESTINO_CONT<br>Numero de registro: 296.00<br>,37.20465053408525
IMRC,TROYA,DMRS_NATIVE_TO_LOGICAL,1712.0,"1,712.00","Sistema: IMRC<br>Tabla:  DMRS_NATIVE_TO_LOGICAL<br>Numero de registro: 1,712.00<br>",61.376321731154405
SIRAC,SIRAC,PR_DEVOLUCIONES_CLIENTE,7684.0,"7,684.00","Sistema: SIRAC<br>Tabla:  PR_DEVOLUCIONES_CLIENTE<br>Numero de registro: 7,684.00<br>",107.65842800324451
SIRYS,SIRYS,RCV_COLAS_REGLAS,316.0,316.00,Sistema: SIRYS<br>Tabla:  RCV_COLAS_REGLAS<br>Numero de registro: 316.00<br>,37.77638883463118
SIAG,GIA,SIAG_CAT_EMAIL_INTERMEDIARIO,4127.0,"4,127.00","Sistema: SIAG<br>Tabla:  SIAG_CAT_EMAIL_INTERMEDIARIO<br>Numero de registro: 4,127.00<br>",84.24173098539609
IMRC,TROYA,EXPOSICION,78.0,78.00,Sistema: IMRC<br>Tabla:  EXPOSICION<br>Numero de registro: 78.00<br>,28.831760866327848
SIRAC,SIRAC,CD_ITEMS,0.0,0.00,Sistema: SIRAC<br>Tabla:  CD_ITEMS<br>Numero de registro: 0.00<br>,20.0
SIAG,GIA,SIAG_PROGRAMAS_EQUIVALENTES,955.0,955.00,Sistema: SIAG<br>Tabla:  SIAG_PROGRAMAS_EQUIVALENTES<br>Numero de registro: 955.00<br>,50.90307428072489
SIAG,GIA,GIA_DESTINOS_RECURSO,3623241.0,"3,623,241.00","Sistema: SIAG<br>Tabla:  GIA_DESTINOS_RECURSO<br>Numero de registro: 3,623,241.00<br>",1923.4812843839575
SIAF,NSIAF,SIAF_VEN_COBROS,1673.0,"1,673.00","Sistema: SIAF<br>Tabla:  SIAF_VEN_COBROS<br>Numero de registro: 1,673.00<br>",60.90232267243512
SCC,TASU,TASU_EVOLUCION_CALIF,615.0,615.00,Sistema: SCC<br>Tabla:  TASU_EVOLUCION_CALIF<br>Numero de registro: 615.00<br>,44.79919353527449
SIMS,SIMS,SIMS_FFON_ENCABEZADO,802.0,802.00,Sistema: SIMS<br>Tabla:  SIMS_FFON_ENCABEZADO<br>Numero de registro: 802.00<br>,48.31960451701259
FFON,FLUFON,CFE_C_INHABILES,179.0,179.00,Sistema: FFON<br>Tabla:  CFE_C_INHABILES<br>Numero de registro: 179.00<br>,33.379088160259656
SIAF,NSIAF,SIAF_CONCIL_LC_CONCEPTOS,4874.0,"4,874.00","Sistema: SIAF<br>Tabla:  SIAF_CONCIL_LC_CONCEPTOS<br>Numero de registro: 4,874.00<br>",89.81403870282824
