,OWNER,TABLE_NAME,COLUMN_NAME,DATA_TYPE,AVG_COL_LEN,DATA_LENGTH,NUM_NULLS,NUM_DISTINCT,NUM_ROWS,SISTEMA
144,FLUFON,ASE_C_USUARIO,CLAVE_USR_S,VARCHAR2,3.0,60,0.0,2.0,894.0,FFON
145,FLUFON,ASE_C_USUARIO,ASE_C_USUARIO,NUMBER,4.0,22,0.0,894.0,894.0,FFON
146,FLUFON,ASE_C_USUARIO,ASE_ASE_C_USUARIO,NUMBER,4.0,22,4.0,29.0,894.0,FFON
147,FLUFON,ASE_M_BITACORA,MODULO_ASB_S,VARCHAR2,21.0,40,0.0,2336000.0,42140421.0,FFON
148,FLUFON,ASE_M_BITACORA,FECHA_ASB_D,DATE,8.0,7,0.0,5085696.0,42140421.0,FFON
149,FLUFON,ASE_M_BITACORA,DESCRIPCION_ASB_S,VARCHAR2,41.0,250,0.0,11160576.0,42140421.0,FFON
150,FLUFON,ASE_M_BITACORA,ASE_M_BITACORA,NUMBER,6.0,22,0.0,41979904.0,42140421.0,FFON
151,FLUFON,ASE_M_BITACORA,ASE_C_USUARIO,NUMBER,4.0,22,0.0,461.0,42140421.0,FFON
152,FLUFON,ASE_M_BITACORA,ANTERIOR_ASB_S,VARCHAR2,2.0,250,39926496.0,193056.0,42140421.0,FFON
153,FLUFON,ASE_M_BITACORA,ACTUAL_ASB_S,VARCHAR2,17.0,250,5068903.0,18333696.0,42140421.0,FFON
154,FLUFON,ASE_M_BITACORA_RESPALDO,MODULO_ASB_S,VARCHAR2,18.0,40,0.0,5191.0,141899.0,FFON
155,FLUFON,ASE_M_BITACORA_RESPALDO,FECHA_ASB_D,DATE,8.0,7,0.0,38184.0,141899.0,FFON
156,FLUFON,ASE_M_BITACORA_RESPALDO,DESCRIPCION_ASB_S,VARCHAR2,39.0,250,0.0,7334.0,141899.0,FFON
157,FLUFON,ASE_M_BITACORA_RESPALDO,ASE_M_BITACORA,NUMBER,6.0,22,0.0,141899.0,141899.0,FFON
158,FLUFON,ASE_M_BITACORA_RESPALDO,ASE_C_USUARIO,NUMBER,4.0,22,0.0,89.0,141899.0,FFON
159,FLUFON,ASE_M_BITACORA_RESPALDO,ANTERIOR_ASB_S,VARCHAR2,2.0,250,138454.0,1302.0,141899.0,FFON
160,FLUFON,ASE_M_BITACORA_RESPALDO,ACTUAL_ASB_S,VARCHAR2,11.0,250,43767.0,19348.0,141899.0,FFON
161,FLUFON,ASE_M_PERMISO,ASE_C_USUARIO,NUMBER,4.0,22,0.0,737.0,13053.0,FFON
162,FLUFON,ASE_M_PERMISO,ASE_C_MENU,NUMBER,4.0,22,0.0,222.0,13053.0,FFON
163,FLUFON,ASI_C_CATALOGO,TREE_CAT_I,NUMBER,3.0,22,0.0,1.0,33.0,FFON
164,FLUFON,ASI_C_CATALOGO,STATUS_CAT_I,NUMBER,3.0,22,0.0,1.0,33.0,FFON
165,FLUFON,ASI_C_CATALOGO,SEG_CAT_I,NUMBER,3.0,22,0.0,2.0,33.0,FFON
166,FLUFON,ASI_C_CATALOGO,ORDENX_CAT_I,NUMBER,3.0,22,0.0,3.0,33.0,FFON
167,FLUFON,ASI_C_CATALOGO,NIVELMAX_CAT_I,NUMBER,4.0,22,0.0,5.0,33.0,FFON
168,FLUFON,ASI_C_CATALOGO,MODESELECT_CAT_I,NUMBER,4.0,22,3.0,3.0,33.0,FFON
169,FLUFON,ASI_C_CATALOGO,FORM_CAT_S,VARCHAR2,18.0,100,3.0,19.0,33.0,FFON
170,FLUFON,ASI_C_CATALOGO,EXCEPCION_CAT_I,NUMBER,2.0,22,0.0,1.0,33.0,FFON
171,FLUFON,ASI_C_CATALOGO,DESCRIPCION_CAT_S,VARCHAR2,19.0,250,0.0,33.0,33.0,FFON
172,FLUFON,ASI_C_CATALOGO,ASI_C_CATALOGO,NUMBER,3.0,22,0.0,33.0,33.0,FFON
173,FLUFON,ASI_C_CATALOGO,ASI_ASI_C_CATALOGO,NUMBER,3.0,22,1.0,3.0,33.0,FFON
174,FLUFON,ASI_C_FOLIO,FOLIO_ASF_I,NUMBER,5.0,22,0.0,21.0,23.0,FFON
175,FLUFON,ASI_C_FOLIO,DESCRIPCION_ASF_S,VARCHAR2,22.0,250,0.0,23.0,23.0,FFON
176,FLUFON,ASI_C_FOLIO,ASI_C_FOLIO,NUMBER,4.0,22,0.0,23.0,23.0,FFON
177,FLUFON,ASI_C_HOST,MODO_HOS_N,NUMBER,3.0,22,0.0,1.0,1.0,FFON
178,FLUFON,ASI_C_HOST,HOST_HOS_S,VARCHAR2,15.0,255,0.0,1.0,1.0,FFON
179,FLUFON,ASI_C_HOST,ASI_C_HOST,NUMBER,5.0,22,0.0,1.0,1.0,FFON
180,FLUFON,ASI_D_CATALOGO,STATUS_DCAT_I,NUMBER,3.0,22,0.0,2.0,2413161.0,FFON
181,FLUFON,ASI_D_CATALOGO,SELECT_DCAT_I,NUMBER,3.0,22,0.0,2.0,2413161.0,FFON
182,FLUFON,ASI_D_CATALOGO,ORDEN_DCAT_S,VARCHAR2,2.0,250,2399189.0,13689.0,2413161.0,FFON
183,FLUFON,ASI_D_CATALOGO,ORDEN_DCAT_I,NUMBER,6.0,22,0.0,2413161.0,2413161.0,FFON
184,FLUFON,ASI_D_CATALOGO,NIVEL_DCAT_I,NUMBER,3.0,22,0.0,3.0,2413161.0,FFON
185,FLUFON,ASI_D_CATALOGO,FECHADESACTIVA,DATE,2.0,7,2413159.0,2.0,2413161.0,FFON
186,FLUFON,ASI_D_CATALOGO,DESCRIPCION_DCAT_S,VARCHAR2,29.0,100,0.0,2202368.0,2413161.0,FFON
187,FLUFON,ASI_D_CATALOGO,CREADO_DCAT_D,DATE,2.0,7,2184659.0,41664.0,2413161.0,FFON
188,FLUFON,ASI_D_CATALOGO,CORTO_DCAT_S,VARCHAR2,2.0,20,2197518.0,41860.0,2413161.0,FFON
189,FLUFON,ASI_D_CATALOGO,CLAVE_DCAT_S,VARCHAR2,19.0,40,0.0,2355712.0,2413161.0,FFON
190,FLUFON,ASI_D_CATALOGO,ASI_D_CATALOGO,NUMBER,6.0,22,0.0,2413161.0,2413161.0,FFON
191,FLUFON,ASI_D_CATALOGO,ASI_C_CATALOGO,NUMBER,3.0,22,0.0,28.0,2413161.0,FFON
192,FLUFON,ASI_D_CATALOGO,ASI_ASI_D_CATALOGO,NUMBER,2.0,22,2411917.0,636.0,2413161.0,FFON
193,FLUFON,ASI_D_CATALOGO_LINK,ASI_D_CATALOGO_LINK,NUMBER,3.0,22,0.0,1.0,1409.0,FFON
194,FLUFON,ASI_D_CATALOGO_LINK,ASI_D_CATALOGO,NUMBER,5.0,22,0.0,94.0,1409.0,FFON
195,FLUFON,ASI_D_CATALOGO_LINK,ASI_ASI_D_CATALOGO,NUMBER,5.0,22,0.0,123.0,1409.0,FFON
196,FLUFON,ASI_D_CATALOGO_SEG,ASI_D_CATALOGO,NUMBER,5.0,22,0.0,4937.0,457375.0,FFON
197,FLUFON,ASI_D_CATALOGO_SEG,ASE_C_USUARIO,NUMBER,4.0,22,0.0,875.0,457375.0,FFON
198,FLUFON,ASI_M_MENSAJE,MENSAJE_MSG_S,VARCHAR2,212.0,1024,0.0,176592.0,541986.0,FFON
199,FLUFON,ASI_M_MENSAJE,LEIDO_MSG_I,NUMBER,3.0,22,0.0,2.0,541986.0,FFON
200,FLUFON,ASI_M_MENSAJE,LEIDO_MSG_D,DATE,8.0,7,0.0,296224.0,541986.0,FFON
201,FLUFON,ASI_M_MENSAJE,FECHA_MSG_D,DATE,8.0,7,0.0,166144.0,541986.0,FFON
202,FLUFON,ASI_M_MENSAJE,ASUNTO_MSG_S,VARCHAR2,30.0,255,0.0,8137.0,541986.0,FFON
203,FLUFON,ASI_M_MENSAJE,ASI_M_MENSAJE,NUMBER,6.0,22,0.0,541986.0,541986.0,FFON
204,FLUFON,ASI_M_MENSAJE,ASE_C_USUARIO_FROM,NUMBER,4.0,22,0.0,120.0,541986.0,FFON
205,FLUFON,ASI_M_MENSAJE,ASE_C_USUARIO,NUMBER,4.0,22,0.0,641.0,541986.0,FFON
206,FLUFON,CFE_C_BENEFICIARIO,TIPO_BEN_I,NUMBER,3.0,22,0.0,3.0,2407054.0,FFON
207,FLUFON,CFE_C_BENEFICIARIO,TEL_BEN_S,VARCHAR2,2.0,25,2237192.0,913.0,2407054.0,FFON
208,FLUFON,CFE_C_BENEFICIARIO,STATUS_CE_BEN_N,NUMBER,3.0,22,0.0,2.0,2407054.0,FFON
209,FLUFON,CFE_C_BENEFICIARIO,RFC_BEN_S,VARCHAR2,12.0,13,7004.0,1653248.0,2407054.0,FFON
210,FLUFON,CFE_C_BENEFICIARIO,RAZONSOC_BEN_S,VARCHAR2,4.0,150,2184688.0,144352.0,2407054.0,FFON
211,FLUFON,CFE_C_BENEFICIARIO,PAIS_BEN_I,NUMBER,2.0,22,2207618.0,42.0,2407054.0,FFON
